last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Total_all_periods,End_term,Asterisk
Adomaitis,Kasparas,1,9,3,4,0,0,2,9,,3
Alekna,Virgilijus,3,0,0,0,0,0,0,0,,0
Aleknaitė Abramikienė,Vilija,1,2,2,0,0,0,0,2,,0
Andrikienė,	Laima Liucija,7,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2019-07-09,N/A
Anušauskas,Arvydas,1,0,0,0,0,0,0,0,,0
Armonaitė,Aušrinė,3,2,2,0,0,0,0,2,,0
Asanavičiūtė,Dalia,1,16,9,6,0,0,1,16,,2
Ažubalis,Audronius,6,0,0,0,0,0,0,0,,0
Ąžuolas,Valius,1,0,0,0,0,0,0,0,,0
Bagdonas,Andrius,1,0,0,0,0,0,0,0,,0
Bakas,Vytautas,1,0,0,0,0,0,0,0,,0
Balčytis,Zigmantas,2,1,0,0,0,0,1,1,,0
Bartoševičius,Kristijonas,2,8,0,8,0,0,0,8,,8
Baškienė,Rima,4,6,2,0,0,1,3,6,,0
Baublys,Juozas,4,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2018-03-20,0
Bičiūnas,Tomas,1,0,0,0,0,0,0,0,,0
Bilotaitė,Agnė ,3,0,0,0,0,0,0,0,,0
Budbergytė,Rasa,6,0,0,0,0,0,0,0,,0
Bukauskas,Valentinas,3,0,0,0,0,0,0,0,,0
Burokienė,Guoda,5,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2019-07-09,N/A
Butkevičius,Algirdas,1,0,0,0,0,0,0,0,,0
Čepononis,Antanas,4,0,0,0,0,0,0,0,,0
Čmilytė-Nielsen,Viktorija,1,17,12,3,0,1,1,17,,3
Danielė,Morgana,6,0,0,0,0,0,0,0,,0
Dobrovolska,Evelina,2,0,0,0,0,0,0,0,,0
Dumbrava,Algimantas,2,7,4,3,0,0,0,7,,3
Džiugelis,Justas,6,0,0,0,0,0,0,0,,0
Fiodorovas,Viktoras,6,0,0,0,0,0,0,0,,0
Gaižauskas,Dainius,3,0,0,0,0,0,0,0,,0
Gapšys,Vytautas,1,0,0,0,0,0,0,0,,0
Gedvilas ,Aidas,1,1,0,0,0,0,1,1,,0
Gedvilienė,Aistė,2,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2019-04-10,0
Gentvilas,Eugenijus,1,11,1,6,0,0,4,11,,6
Gentvilas,Simonas,1,0,0,0,0,0,0,0,,0
Giraitytė,Vaida,1,18,7,2,0,0,9,18,Seimo narys nuo 2016-11-14 iki 2019-04-01,2
Girskienė,Ligita,1,48,13,19,1,2,13,48,,19
Glaveckas,Kęstutis,3,0,0,0,0,0,0,0,,0
Gražulis,Petras,7,0,0,0,0,0,0,0,,0
Griškevičius,Domas,6,0,0,0,0,0,0,0,,0
Gudauskas,Jonas,1,13,3,2,0,0,8,13,,2
Guoga,Antanas,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2018-10-09,N/A
Haase,Irena,2,0,0,0,0,0,0,0,,0
Jarutis,Jonas,1,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2019-07-01,0
Jonaitis,Liudas,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2019-07-09,N/A
Jonauskas,Linas,1,8,3,5,0,0,0,8,,5
Jovaiša,Eugenijus,2,0,0,0,0,0,0,0,,0
Jovaiša,Sergejus,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2019-09-26,N/A
Jukna,Virgilijus,1,0,0,0,0,0,0,0,,0
Juozapaitis,Vytautas,2,0,0,0,0,0,0,0,,0
Juška,	Ričardas ,7,0,0,0,0,0,0,0,Seimo narė nuo 2016-11-14 iki 2019-07-01,0
Kačinskaitė-Urbonienė,Ieva,2,0,0,0,0,0,0,0,,0
Kanopa,Vidmantas,1,2,1,0,0,0,1,2,,0
Karbauskis,	Ramūnas,3,0,0,0,0,0,0,0,,0
Kasčiūnas,Laurynas,1,0,0,0,0,0,0,0,,0
Kepenis,Dainius,3,0,0,0,0,0,0,0,,0
Kernagis,Vytautas,1,0,0,0,0,0,0,0,,0
Kindurys,Gintautas,1,2,0,0,0,0,2,2,,0
Kreivys,Dainius,1,3,0,0,0,0,3,3,,0
Kubilienė,Asta,1,1,0,0,0,0,1,1,,0
Kukuraitis,Linas,7,0,0,0,0,0,0,0,,0
Kupčinskas,Andrius,1,0,0,0,0,0,0,0,,0
Kuzmickienė,Paulė,2,0,0,0,0,0,0,0,,0
Labanavičius,Eigirdas,2,0,0,0,0,0,0,0,,0
Landsbergis,Gabrielius,1,2,2,0,0,0,,2,,0
Leiputė,Orinta,7,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2019-07-01,0
Lengvinienė,Silva,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2018-03-10,N/A
Lingė,Mindaugas,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2019-09-26,N/A
Lopata,Raimundas,1,0,0,0,0,0,0,0,,0
Lydeka,Arminas,1,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2018-02-28,0
Majauskas,Mykolas,2,0,0,0,0,0,0,0,,0
Maldeikis,Matas,2,3,2,1,0,0,0,3,,1
Masiulis,Kęstutis,3,0,0,0,0,0,0,0,,0
Matelis ,Bronislovas,1,0,0,0,0,0,0,0,,0
Matijošaitis	,Marius,1,10,2,5,3,0,0,10,Seimo narė nuo 2016-11-14 iki 2019-06-30,5
Matulas,Antanas,2,41,5,18,0,0,18,41,Seimo narys nuo 2016-11-14 iki 2019-04-10,18
Mažeika,Kęstutis,1,0,0,0,0,0,0,0,,0
Mazuronis,Andrius,4,0,0,0,0,0,0,0,,0
Miliūtė,	Rūta ,1,0,0,0,0,0,0,0,,0
Mitalas,Vytautas,1,2,1,1,0,0,0,2,,1
Mogenienė,Laima,5,0,0,0,0,0,0,0,,0
Morkūnaitė-Mikulėnienė,Radvilė,1,0,0,0,0,0,0,0,,0
Nagienė,Laima,3,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2019-04-09,N/A
Navickas,Andrius ,1,11,8,0,0,0,3,11,,0
Navickienė,Monika,1,0,0,0,0,0,0,0,,0
Nekrošius,Arvydas,3,0,0,0,0,0,0,0,,0
Norkienė,Aušrinė,1,0,0,0,0,0,0,0,,0
Olševski,Česlav,1,0,0,0,0,0,0,0,,0
Ošmianskienė,Monika,1,4,2,1,0,0,1,4,,1
Pakarklytė,Ieva,1,4,2,0,0,0,2,4,,0
Palionis ,Andrius,1,0,0,0,0,0,0,0,,0
Paluckas,Gintautas,1,0,0,0,0,0,0,0,,0
Pavilionis,Žygimantas ,6,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2019-07-01,0
Petkevič,Beata,1,0,0,0,0,0,0,0,,0
Petrošius,Audrius,2,0,0,0,0,0,0,0,,0
Pinskus,Jonas,1,0,0,0,0,0,0,0,,0
Pociūnienė,Liuda,1,0,0,0,0,0,0,0,,0
Pocius,Arvydas,1,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narė nuo 2019-09-26,N/A
Pranckietis,Viktoras,1,4,2,1,0,0,1,4,,1
Puidokas,Mindaugas,2,0,0,0,0,0,0,0,,0
Pupinis,Edmundas,1,35,15,13,0,1,6,35,,13
Rakutis,Valdas,1,0,0,0,0,0,0,0,,0
Raskevičius,Tomas Vytautas,1,0,0,0,0,0,0,0,Seimo narys nuo 2016-11-14 iki 2018-01-12,0
Razma,Jurgis,3,6,2,4,0,0,0,6,,4
Rudelienė,Edita,4,0,0,0,0,0,0,0,,0
Sabatauskas,Julius,1,0,0,0,0,0,0,0,,0
Sabutis,Eugenijus,6,0,0,0,0,0,0,0,,0
Šakalienė,Dovilė ,1,0,0,0,0,0,0,0,,0
Šalaševičiūtė,Rimantė,3,14,6,2,0,0,6,14,,2
Šarknickas,Robertas,3,0,0,0,0,0,0,0,,0
Saudargas	,Paulius,5,0,0,0,0,0,0,0,,0
Savickas,Lukas ,1,13,9,1,0,0,3,13,,1
Šedbaras,Stasys,7,0,0,0,0,0,0,0,,0
Sejonienė	,Jurgita,2,0,0,0,0,0,0,0,,0
Šimonytė,Ingrida,1,0,0,0,0,0,0,0,,0
Širinskienė ,Agnė ,3,0,0,0,0,0,0,0,,0
Šiugždinienė,Jurgita,3,0,0,0,0,0,0,0,,0
Skaistė,Gintarė,7,0,0,0,0,0,0,0,,0
Skardžius,Artūras,1,12,7,0,0,1,4,12,,0
Skritulskas,Mindaugas,1,0,0,0,0,0,0,0,,0
Skvernelis,Saulius,5,0,0,0,0,0,0,0,,0
