last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Asterisk_2021_Spring,2021_Autumn_total,2021_Autumn_NGO_local,2021_Autumn_business,2021_Autumn_registered_lobbyists,2021_Autumn_trade_unions,2021_Autumn_others,Total_all_periods,End_term,Asterisk_2021_Autumn
Bilotaitė,Agnė ,4,9,6,1,0,1,1,1,0,0,0,0,0,0,9,,0
Širinskienė ,Agnė ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gedvilas ,Aidas,2,3,0,3,0,0,0,0,0,0,0,0,0,0,3,,0
Gedvilienė,Aistė,2,4,1,2,1,0,0,0,5,3,2,0,0,0,9,,2
Dumbrava,Algimantas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Butkevičius,Algirdas,7,14,2,9,2,0,1,4,4,0,4,0,0,0,18,,2
Stončaitis,Algirdas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sysas,Algirdas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Strelčiūnas,Algis,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bagdonas,Andrius,1,0,0,0,0,0,0,0,5,0,2,0,0,3,5,,1
Kupčinskas,Andrius,2,13,6,2,0,1,4,0,7,1,2,0,0,4,20,,0
Mazuronis,Andrius,4,1,1,0,0,0,0,0,1,0,0,0,0,1,2,,0
Navickas,Andrius ,2,1,1,0,0,0,0,0,5,3,0,0,0,2,6,,0
Palionis ,Andrius,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Vyšniauskas,Andrius,1,14,2,7,0,0,5,1,21,3,9,0,0,9,35,,3
Čepononis,Antanas,1,4,0,1,0,0,3,0,0,0,0,0,0,0,4,,0
Matulas,Antanas,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Vinkus,Antanas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lydeka,Arminas,5,1,0,0,0,0,1,0,3,0,1,0,0,2,4,,0
Skardžius,Artūras,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Žukauskas,Artūras,1,6,2,2,0,0,2,0,11,0,2,0,0,9,17,,1
Anušauskas,Arvydas,4,5,2,2,0,0,1,1,2,0,1,0,0,1,7,,0
Nekrošius,Arvydas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pocius,Arvydas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Valinskas,Arūnas,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,,0
Kubilienė,Asta,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,0
Petrošius,Audrius,1,10,2,2,0,2,4,0,4,0,4,0,0,0,14,,0
Ažubalis,Audronius,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Veryga,Aurelijus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Armonaitė,Aušrinė,2,30,3,25,0,0,2,4,59,6,46,0,1,6,89,,6
Norkienė,Aušrinė,2,2,2,0,0,0,0,0,1,0,1,0,0,0,3,,0
Petkevič,Beata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matelis ,Bronislovas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Olševski,Česlav,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gaižauskas,Dainius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kepenis,Dainius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kreivys,Dainius,3,8,0,8,0,0,0,3,19,0,18,0,0,1,27,,3
Asanavičiūtė,Dalia,1,18,9,0,0,0,9,0,21,9,0,0,0,12,39,,0
Labanavičius,Deividas,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,1
Griškevičius,Domas,1,3,0,1,0,0,2,0,6,1,3,0,0,2,9,,0
Šakalienė,Dovilė ,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,0
Rudelienė,Edita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pupinis,Edmundas,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,0
Zingeris,Emanuelis,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
