Pavardė,Vardas,2017_PAVASARIS,2017_RUDUO,2018_PAVASARIS,2018_RUDUO,2019_PAVASARIS,2019_RUDUO
Vingrienė,Virginija,30,15,28,40,47,
Adomėnas,Mantas,0,0,0,0,0,
Sinkevičius,Virginijus ,20,11,65,41,33,
Aleknaitė Abramikienė,Vilija,-,-,-,-,0,
Andrikis,Rimas,0,0,0,0,0,
Čmilytė-Nielsen,Viktorija,7,6,1,9,30,
Armonaitė,Aušrinė,16,10,12,18,29,
Ažubalis,Audronius,0,0,0,0,0,
Mažeika,Kęstutis,0,5,16,31,28,
Bacvinka,Kęstutis,0,0,0,0,0,
Burokienė,Guoda,17,5,7,28,26,
Balsys,Linas,1,1,2,1,0,
Bakas,Vytautas,0,19,12,27,23,
Pranckietis,Viktoras,35,39,38,50,22,
Skvernelis,Saulius,23,37,44,25,20,
Baura,Antanas,0,2,1,0,0,
Bernatonis,Juozas,0,0,0,0,0,
Bilotaitė,Agnė,0,0,2,3,0,
Bradauskas ,Bronius,-,-,-,-,0,
Budbergytė,Rasa,0,0,0,0,0,
Bukauskas,Valentinas,0,0,0,0,0,
Steponavičius,Gintaras,5,10,7,17,20,
Butkevičius,Algirdas,0,0,0,0,0,
Čimbaras,Petras,0,0,0,0,0,
Gumuliauskas,Arūnas,14,27,11,7,19,
Dagys,Rimantas Jonas,0,0,0,0,0,
Degutienė,Irena,0,0,0,0,0,
Dumbrava,Algimantas,0,0,0,0,0,
Džiugelis,Justas,0,0,0,0,0,
Gaidžiūnas,Aurimas,1,3,2,4,0,
Gentvilas,Simonas,48,47,29,26,17,
Baškienė,Rima,6,19,7,14,16,
Gedvilienė,Aistė,0,0,0,0,0,
Vasiliauskas,Gediminas,0,7,18,22,16,
Kupčinskas,Andrius,-,-,-,7,11,
Glaveckas,Kęstutis,0,0,0,0,0,
Gražulis,Petras,0,0,0,0,0,
Gaižauskas,Dainius,11,9,10,10,10,
Haase,Irena,-,-,-,0,0,
Imbrasas,Juozas,0,0,0,0,0,
Jankuvienė,Audronė,-,-,-,-,0,
Ąžuolas,Valius,0,0,5,11,9,
Jedinskij,Zbignev,0,0,0,0,0,
Jovaiša,Eugenijus,0,0,0,0,0,
Jovaiša,Sergejus,0,1,0,2,0,
Juozapaitis,Vytautas,0,1,3,4,0,
Papirtienė,Aušra,0,8,8,9,9,
Kamblevičius,Vytautas,0,0,0,0,0,
Linkevičius,Linas Antanas,3,8,8,10,8,
Karbauskis,Ramūnas,0,1,2,5,0,
Kasčiūnas ,Laurynas,0,0,0,0,0,
Šakalienė,Dovilė,13,16,11,17,8,
Kernagis,Vytautas,3,1,7,3,0,
Tumėnas,Stasys,1,4,3,8,8,
Kirkilas,Gediminas,0,0,0,0,0,
Kubilienė,Asta,2,8,3,6,7,
Kravčionok,Vanda,0,0,0,0,0,
Kreivys,Dainius,0,0,0,0,0,
Veryga,Aurelijus,36,5,29,27,7,
Kirkutis,Algimantas,0,15,14,21,6,
Landsbergis,Gabrielius,0,0,0,0,0,
Liesys,Jonas,0,0,0,4,6,
Mackevič,Michal,0,0,0,0,0,
Majauskas,Mykolas,0,0,0,0,0,
