last_name,first_name,terms_elected,2017_Spring_total,2017_Spring_NGO_local,2017_Spring_business,2017_Spring_registered_lobbyists,2017_Spring_trade_unions,2017_Spring_others,2017_Autumn_total,2017_Autumn_NGO_local,2017_Autumn_business,2017_Autumn_registered_lobbyists,2017_Autumn_trade_unions,2017_Autumn_others,2018_Spring_total,2018_Spring_NGO_local,2018_Spring_business,2018_Spring_registered_lobbyists,2018_Spring_trade_unions,2018_Spring_others,2018_Autumn_total,2018_Autumn_NGO_local,2018_Autumn_business,2018_Autumn_registered_lobbyists,2018_Autumn_trade_unions,2018_Autumn_others,2019_Spring_total,2019_Spring_NGO_local,2019_Spring_business,2019_Spring_registered_lobbyists,2019_Spring_trade_unions,2019_Spring_others,2019_Autumn_total,2019_Autumn_NGO_local,2019_Autumn_business,2019_Autumn_registered_lobbyists,2019_Autumn_trade_unions,2019_Autumn_others,2020_Spring_total,2020_Spring_NGO_local,2020_Spring_business,2020_Spring_registered_lobbyists,2020_Spring_trade_unions,2020_Spring_others,Total_all_periods,End_term
Ačienė,Vida,1,9,3,4,0,0,2,2,1,0,0,0,1,5,2,1,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,
Adomėnas,Mantas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alekna,Virgilijus,1,2,2,0,0,0,0,6,2,2,0,0,2,6,4,0,0,0,2,8,4,1,1,0,2,1,0,0,0,0,1,4,2,1,0,0,1,1,0,0,0,1,0,28,
Aleknaitė Abramikienė,Vilija,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seimo narė nuo 2019-07-09
Andrikis,Rimas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anušauskas,Arvydas,3,2,2,0,0,0,0,4,3,1,0,0,0,4,3,1,0,0,0,2,1,0,0,1,0,4,2,0,0,0,2,2,1,0,0,0,1,2,2,0,0,0,0,20,
Armonaitė,Aušrinė,1,16,9,6,0,0,1,10,6,4,0,0,0,12,2,4,0,0,6,18,7,4,1,1,5,29,4,13,0,0,12,37,10,11,2,0,14,26,6,11,0,0,9,148,
Ažubalis,Audronius,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ąžuolas,Valius,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,1,11,0,3,0,1,7,9,2,4,0,0,3,10,0,4,0,0,6,1,0,1,0,0,0,36,
Bacvinka,Kęstutis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bakas,Vytautas,1,0,0,0,0,0,0,19,7,4,0,3,5,12,3,3,0,0,6,27,4,6,0,2,15,23,1,4,0,1,17,2,1,0,0,0,1,0,0,0,0,0,0,83,
Balsys,Linas,2,1,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Bartkevičius,Kęstutis,2,8,0,8,0,0,0,2,2,0,0,0,0,15,11,3,0,0,1,10,8,2,0,0,0,2,2,0,0,0,0,12,4,1,0,0,7,3,1,1,0,0,1,52,
Baškienė,Rima,4,6,2,0,0,1,3,19,1,9,0,2,7,7,1,3,0,0,3,14,2,3,0,0,9,16,2,6,0,0,8,4,2,0,0,0,2,2,0,0,0,0,2,68,
Bastys,Mindaugas,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2016-11-14 iki 2018-03-20
Baublys,Juozas,1,0,0,0,0,0,0,8,2,0,0,0,6,6,1,3,0,0,2,2,2,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,2,8,1,2,0,0,5,29,
Baura,Antanas,3,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,
Bernatonis,Juozas,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bilotaitė,Agnė,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,
