ID,num,,,
Adas Jakubauskas,1,,,
Adelė Štelmokienė,0,,,
Adolfas Jasinevičius,0,,,
Adolfas Žvingilas,0,,,
Adomas Gulbinas,0,,,
Adomas Letulis,0,,,
Adomas Semeška,0,,,
Adrianas Mečkovskis,10,,,
Agnė Bagočiutė,6,,,
Agnė Brandišauskienė,0,,,
Agnė Goldbergaitė,0,,,
Agnė Grigaitė,7,,,
Agnė Januševska,0,,,
Agnė Katkutė,2,,,
Agnė Kazlauskaitė,2,,,
Agnė Kazlauskienė,12,,,
Agnė Kniežaitė-Gogmanė,1,,,
Agnė Perednė,0,,,
Agnė Prušinskaitė,0,,,
Agnė Razmislavičiūtė-Palionienė,4,,,
Agnė Silickienė,0,,,
Agneta Skardžiuvienė,0,,,
Agnietė Pukaitė,0,,,
Aidas Aldakauskas,8,,,
Aidas Juozapaitis,1,,,
Aidas Molis,1,,,
Aidas Valys,0,,,
Ainė Markevičiūtė,0,,,
Airė Mockevičienė,0,,,
Aistė Gedvilienė,0,,,
Aistė Stakėnienė,4,,,
Aistė Zedelytė-Kaminskė,3,,,
Aistė Žilinskienė,5,,,
Aistis Radavičius,12,,,
Aistis Rusteika,0,,,
Aivaras Žilvinskas,0,,,
Aivydas Keršulis,0,,,
Akvilė Kaminskaitė,0,,,
Akvilė Matulytė,0,,,
Akvilė Dovydaitytė,8,,,
Akvilė Kalantaitė,6,,,
Albertas Lakštauskas,0,,,
Albertas Sinevičius,0,,,
Albertas Turonis,1,,,
Albertas Vitartas,0,,,
Albertas Žalys,0,,,
Albina Auksoriūtė,0,,,
Albina Radzevičiūtė,14,,,
Albinas Kentra,0,,,
Albinas Klimas,0,,,
Albinas Kučys,0,,,
Albinas Morkūnas,0,,,
Albinas Tebėra,0,,,
Albinas Trota,0,,,
Aldona Danutė Gibaitė-Kudžmienė,0,,,
Aldona Violeta Grinienė,0,,,
Aleksandr Barinov,0,,,
Aleksandr Stoliarov,0,,,
Aleksandra Minajeva,1,,,
Aleksandra Paradauskaitė,0,,,
Aleksandra Prokopjeva,1,,,
Aleksandra Simonova,0,,,
Aleksandras Muzikevičius,0,,,
Aleksandras Rubinovas,0,,,
Aleksandras Stupenko,6,,,
Aleksandras Tiaškevičius,3,,,
Aleksej Levitan,0,,,
Aleksej Persijanov,0,,,
Alfonsas Daniūnas,1,,,
Algė Staniūnaitė-Tonkich,30,,,
Algimantas Mineikis,0,,,
Algimantas Misiūnas,0,,,
Algimantas Akstinas,1,,,
Algimantas Degutis,0,,,
Algimantas Jablonskas,0,,,
Algimantas Juozas Kundrotas,0,,,
Algimantas Kaziliūnas,0,,,
Algimantas Petronis,1,,,
Algimantas Remeika,0,,,
Algimantė Treinienė,3,,,
Algiras Cegelis,0,,,
Algirdas Kulikauskas,0,,,
