law_id,name
XIIIP-4874,"Seimo nutarimas “Dėl Nacionalinės šeimos tarybos sudėties"""
X-1263,Seimo nutarimas „Dėl Nacionalinės sveikatos tarybos nuostatų patvirtinimo“
XIIIP-1177,"Seimo nutarimas „Dėl 2016 metų Garantinio fondo ataskaitų rinkinio patvirtinimo"""
XIIIP-2691,"Seimo nutarimas „Dėl 2017 metų Garantinio fondo 2017 metų ataskaitų rinkinio patvirtinimo"""
XIIIP-323,"Seimo nutarimas „Dėl 2017 metų paskelbimo arkivyskupo Teofiliaus Matulionio metais"""
XIIP-4797,"Seimo nutarimas „Dėl 2017 metų, 2018 metų ir 2019 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių"""
XIIIP-371(2),"Seimo nutarimas „Dėl 2018 metų paskelbimo Trakų Dievo Motinos, Lietuvos Globėjos, paveikslo karūnavimo 300 metų jubiliejaus minėjimo metais"""
XIIIP-1241,"Seimo nutarimas „Dėl 2018 metų, 2019 metų ir 2020 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių"""
XIIIP-2022,"Seimo nutarimas „Dėl 2019 metų paskelbimo Juozo Naujalio metais"""
XIIIP-1661,"Seimo nutarimas „Dėl 2019 metų paskelbimo Pasaulio lietuvių metais"""
XIIIP-3320,"Seimo nutarimas „Dėl 2020 metų paskelbimo Tautodailės metais"""
XIIIP-3324,"Seimo nutarimas „Dėl 2020 metų paskelbimo UNESCO Pasaulio paveldo Lietuvoje metais"""
XIIIP-4015,"Seimo nutarimas „Dėl 2020 metų, 2021 metų ir 2022 metų valstybės biudžeto ir savivaldybių biudžetų konsoliduotos visumos planuojamų rodiklių"""
XIIIP-3386,"Seimo nutarimas „Dėl 2021 metų paskelbimo Marijos Gimbutienės metais"""
XIIIP-2025,"Seimo nutarimas „Dėl demografijos, migracijos ir integracijos politikos 2018-2030 m. strategijos patvirtinimo"""
XIIIP-3935,"Seimo nutarimas „Dėl Garantinio fondo 2018 metų ataskaitų rinkinio patvirtinimo"""
XIIIP-4881,"Seimo nutarimas „Dėl Gražinos Ramanauskaitės skyrimo žurnalistų etikos inspektore"""
